# RA Dec Distance Mag Spectrum
0.04180029 51.82997958 1020.40816326531  8.95 K5          
0.04215526 42.14779896 617.283950617284  8.97 K0          
0.04217971 15.33519012 195.3125  8.94 A0          
0.04233548 16.25655097 245.700245700246  7.24 A0          
0.04262093 18.68336438 99.403578528827  8.24 F5          
0.04278227 54.55216087 384.615384615385  8.62 F0          
0.0430056 -43.94791349 395.256916996047  8.53 K3III       
0.0430474 -05.18664439 113.122171945701  8.54 F2          
0.04312266 18.83599601 107.296137339056  8.56 G0          
0.04335616 66.09896341 636.942675159236  5.87 G8III       
0.04401064 66.10037725 10000000  7.20 A2V         
0.04445756 51.47241278 128.205128205128  7.70 G5          
0.04461149 28.54222144 297.619047619048  8.17 A3          
0.04496107 82.97320953 366.300366300366  7.29 A0          
0.04512815 42.92069156 311.526479750779  7.94 A0          
0.04531664 -57.63363086 241.545893719807  8.42 G8III       
0.04601528 06.03445242 92.7643784786642  8.56 F8          
0.04611597 35.81547283 159.489633173844  7.52 A0          
0.04621434 80.28224146 130.208333333333  7.74 F2          
0.04629872 -40.98317970 381.679389312977  8.85 K1III       
0.04642741 02.13037640 46.339202965709  7.17 G0          
0.04734347 28.25189113 104.931794333683  7.64 F8          
0.04759564 47.25228068 462.962962962963  8.27 A0          
0.04771301 30.33651580 116.009280742459  8.44 F2          
0.04867075 -30.14977973 193.050193050193  8.43 A0V         
0.04879841 71.35854324 400  8.49 K0          
0.04918777 -00.89382979 337.837837837838  8.09 K0          
0.04928494 -20.04607402 61.8811881188119  6.25 F6/F7V      
0.04954493 03.38193739 209.643605870021  8.56 F5          
0.05013113 09.13829706 421.940928270042  8.76 K0          
0.05014439 -34.74405055 134.952766531714  7.76 G8IV        
0.05022513 -60.69189462 243.30900243309  7.82 K0III       
0.05059098 39.99515242 286.532951289398  7.90 F8          
0.05090547 -07.81552594 302.114803625378  8.52 G5          
0.05105009 08.27080462 110.741971207087  8.10 F0          
0.05161308 31.87010321 75.5287009063444  8.75 F8          
0.05162115 52.46516859 192.678227360308  8.14 K0          
0.05169369 -25.26104885 10000000  8.65 K2III       
0.05217149 -24.14513788 147.492625368732  6.46 K1III       
0.0523113 42.74791705 167.785234899329  6.73 A2          
0.05296824 -24.58828778 84.4594594594595  7.96 F2/F3V      
0.05353433 -31.21239379 317.460317460317  8.87 A0V         
0.05368853 17.55239698 159.235668789809  6.59 K0          
0.05372694 48.72233890 1851.85185185185  8.65 M0          
0.05528252 04.68713578 30.3674460977832 12.04 M1          
0.05547195 38.24401553 271.0027100271  8.42 K0          
0.05569065 -11.94520986 295.85798816568  8.09 K1IIICN...  
0.05569407 -04.14573041 85.7632933104631  8.09 F2          
0.05612037 59.07861165 4166.66666666667  8.18 K5          
0.05613679 23.57504990 261.780104712042  8.77 G5          
0.05667045 73.17449052 212.765957446808  7.36 A2          
0.05703441 -26.41518293 719.424460431655  8.82 G8/K0III    
0.0571436 63.64052431 1075.2688172043  6.24 B3Ia        
0.05719411 20.66591788 64.3086816720257  7.49 G0          
0.05728525 -36.25120504 63.1313131313131  6.96 F2V         
0.05754128 55.55090206 358.4229390681  7.94 B2IVne...  
0.05758499 62.35780416 1234.56790123457  8.69 B8V         
0.05775108 53.31270092 207.03933747412  8.15 A2          
0.05841247 55.05995058 347.222222222222  8.45 M0          
0.05842847 19.38157170 617.283950617284  7.92 K0          
0.05847703 12.35682896 200.400801603206  7.45 A5          
0.05871155 -35.60222342 724.63768115942  8.55 K1IV/VCN... 
0.05925061 42.35221969 182.149362477231  7.90 K0          
0.06015723 -51.80908752 287.35632183908  8.68 K0III       
0.06027427 -31.09403248 65.5307994757536  7.78 F8/G0V      
0.06030294 -28.41713516 684.931506849315  8.21 Ap...       
0.06058045 70.30603307 342.465753424658  8.11 A0          
0.06105999 -57.16443914 76.103500761035  8.29 F6V         
0.06114376 03.90700467 115.874855156431  7.89 F0          
0.06147189 -28.39584776 39.5413206801107  8.24 G8V         
0.06162965 48.43692667 155.763239875389  6.80 A2          
0.06179703 13.36518977 355.871886120996  8.18 K0          
0.06225145 -63.60066163 103.412616339193  8.44 F5V         
0.06232565 -17.33597002 69.8812019566736  4.55 B9IVn       
0.06232724 42.02349764 165.562913907285  7.45 A3          
0.06434093 66.71220273 302.114803625378  6.31 M4          
0.06461062 57.37827711 194.174757281553  8.15 Am...       
0.064653 22.29607151 162.337662337662  8.27 A2          
0.06480418 -28.39376930 48.9236790606654  7.66 G5IV        
0.06498266 -57.83035720 69.6378830083566  8.59 G2V         
0.06556931 14.37891704 71.9424460431655  7.09 F0          
0.06572723 -45.28859728 217.864923747277  8.54 A7V         
0.06583926 36.97021204 157.232704402516  8.44 F0          
0.06597319 61.10364174 10000000  8.59 B0Ibp       
0.06607347 -48.12518732 94.1619585687382  8.01 F3/F5V      
0.0661151 20.95381941 179.21146953405  8.29 G0          
0.06673311 12.14583388 182.481751824818  7.26 F0          
0.06683546 -80.39507010 180.831826401447  7.91 F0III/IV    
0.06772121 62.22195138 833.333333333333  8.19 O8e         
0.06884474 -25.89254967 101.214574898785  8.93 G2/G3V      
0.06901162 56.92100467 254.452926208651  7.65 G8IV        
0.0695029 17.43668381 122.249388753056  8.53 F5          
0.06951519 49.87020726 162.60162601626  7.38 K0          
0.06957517 39.12012608 69.060773480663  8.56 F8          
0.06965601 11.26438632 1219.51219512195  8.76 M0          
0.06996871 -30.13491782 235.849056603774  7.09 B8V         
0.07046214 62.28766460 1123.59550561798  5.90 A1III       
0.07072227 -34.41465369 151.975683890577  8.41 F6V         
0.07092391 60.15501928 14285.7142857143  8.79 B0          
0.07106789 14.08162325 179.533213644524  8.88 A0          
0.07110448 65.15296110 680.272108843537  7.59 K5          
0.07124759 -59.31518062 242.718446601942  8.55 A1V         
0.07158887 -43.98832631 67.0690811535882  8.11 F6V         
0.07215592 -16.52888969 88.5739592559787  5.78 K0III       
0.07230497 -29.26883006 129.032258064516  6.38 A1V         
0.07252055 -53.90948292 189.753320683112  8.80 K1III       
0.07257999 54.27460172 406.50406504065  7.79 B3V         
0.07258669 12.95705512 59.5592614651578  8.60 G5          
0.07302629 -29.38157885 243.90243902439  7.77 B8/B9V      
0.07328727 -57.32287483 47.3036896877956 10.37 B3 
0.07350819 -47.06812971 44.404973357016  9.80 K0V         
0.07503398 -10.50949443 492.610837438424  4.99 K3Ibvar     
0.07504679 -06.96533727 101.112234580384  8.43 G0          
0.07514627 -72.89722070 91.5750915750916  7.33 F2V         
0.07595728 -76.34653399 1052.63157894737  8.93 G8III       
0.07652 -71.69499867 294.117647058824  8.73 K0III       
0.07678062 43.55131855 465.116279069767  8.12 C5II        
0.07683119 -31.16905083 628.930817610063  8.94 K1IV        
0.07683225 42.09256148 515.463917525773  6.11 B9III       
0.07707171 02.93722463 207.03933747412  7.90 K2          
0.07729352 -51.58336438 406.50406504065  7.13 K1III       
0.07770637 -70.40421693 240.963855421687  7.46 K0/K1III    
0.07773199 -08.18490648 719.424460431655  8.72 K2          
0.07780296 34.26519797 163.132137030995  7.02 K0          
0.07810426 06.52258527 247.524752475248  8.37 K0          
0.07812589 -71.43685835 175.438596491228  5.59 B8III       
0.07812793 14.96533616 87.2600349040139  7.37 F5IV        
0.07828819 67.16638761 97.0873786407767  5.68 K1III       
0.07853087 17.06977988 136.054421768707  8.56 G5          
0.07901243 51.53385066 406.50406504065  8.72 A2          
0.07925813 00.05649086 245.098039215686  8.82 F0          
0.0795241 01.53694172 171.232876712329  8.18 A5          
0.08054272 38.78622411 621.11801242236  8.46 F2          
0.08078072 -29.63304603 176.991150442478  8.28 A0IV        
0.08079734 43.97079063 143.884892086331  8.18 G0          
0.081101 30.08593131 95.5109837631328  7.93 F5          
0.08144852 34.65955259 36.7917586460633  6.09 G2V         
0.08147751 -30.25661295 317.460317460317  8.31 A0IV/V      
0.08164042 -31.99660262 343.642611683849  7.83 K2III       
0.08168672 52.24894130 268.096514745308  8.72 A0          
0.08193512 58.53217392 469.483568075117  6.61 B3V         
0.08220199 26.64879958 187.265917602996  6.25 K4IIIb      
0.082244 23.26964739 25.6016385048643  7.82 G9V         
0.08228172 56.05695930 286.532951289398  8.66 K5          
0.08232957 64.78140759 166.112956810631  8.15 F5          
0.08248028 -18.17850304 86.5051903114187  8.97 G3V         
0.08263399 51.18064908 645.161290322581  8.15 K2          
0.08264115 45.67395209 68.8231245698555  7.47 F8V         
0.08292832 26.72525618 598.802395209581  8.63 M0          
0.08295163 -70.21220744 45.2693526482571  8.13 G5V         
0.08300179 57.46874679 226.757369614512  8.23 G9III       
0.08307259 -70.49241628 117.785630153121  8.41 F5V         
0.08364842 27.67479979 131.061598951507  6.47 G8II        
0.0838372 66.51678960 161.550888529887  8.64 F5          
0.08402276 -36.01527326 50.5561172901921  7.73 G0V         
0.08414982 -59.82810463 510.204081632653  8.64 G6III       
0.0842532 09.28002796 119.331742243437  8.94 F2          
0.0842934 01.03782858 114.54753722795  8.84 G5          
0.08438794 -00.50290553 143.884892086331  6.32 G9III:      
0.08503682 61.31396468 222.222222222222  5.80 B8MNp...    
0.08524741 -42.56781669 195.3125  8.97 G8/K0V      
0.08544451 -52.15142338 41.8410041841004  7.53 G0V         
0.0857839 67.84002075 395.256916996047  7.41 K0          
0.08590585 30.32911509 184.162062615101  7.80 F0          
0.08603193 -62.84527102 70.1754385964912  8.14 G0V         
0.0860502 45.22907883 150.15015015015  6.71 A1Vn        
0.08609592 -43.85083352 704.225352112676  8.73 K1III       
0.08615511 02.39731072 89.9280575539568  8.69 G5          
0.08615576 45.78693438 11.4968958381237  9.95 M2          
0.08619619 -32.46851165 159.489633173844  7.10 K1III       
0.08679901 36.30368114 408.163265306122  8.09 F5          
0.08694525 35.57110311 96.6183574879227  6.88 A2          
0.08829689 -67.83122670 16.0051216389245  8.49 K5V         
0.08830088 48.47719511 314.465408805031  8.30 G5          
0.08845774 -01.79412136 452.488687782805  7.95 G5          
0.08885129 68.88440910 188.323917137476  7.08 B9          
0.08886447 -38.85723115 233.100233100233  6.93 G8III/IV    
0.0888975 -21.31530277 230.94688221709  8.38 B9V         
0.08892938 -05.70783255 39.4011032308905  4.61 K1III       
0.08897037 -37.35168110 4.36052849605372  8.56 M2V         
0.08910683 -59.81448691 775.193798449612  8.78 K2III       
0.08934144 -56.95562054 104.712041884817  7.42 A1Vs        
0.08946002 08.78795370 591.715976331361  8.26 G4V:p       
0.0894865 -79.25391278 198.019801980198  7.71 K0III       
0.08951419 03.60610712 148.148148148148  6.91 G5          
0.08999652 28.54375172 303.030303030303  8.99 K7          
0.09007748 16.32907717 219.78021978022  8.63 G0          
0.09040796 -03.85159559 215.05376344086  7.59 K0          
0.09066964 -14.42209198 210.084033613445  7.39 K0III       
0.09102882 -37.30254152 208.768267223382  7.78 K0III       
0.09111921 -42.88738421 497.512437810945  7.47 M3III       
0.09117504 -07.66532823 325.732899022801  6.97 K5          
0.09120887 -61.22566452 53.850296176629  8.82 G5V         
0.09131763 22.22467477 45.045045045045  9.13 G5          
0.09140457 34.10565584 90.5797101449275  7.86 F8          
0.09197453 -09.61729691 50.4795557799091  7.13 F5          
0.09272844 76.28582649 253.807106598985  8.78 K2          
0.09303173 53.17169568 284.090909090909  7.23 K0          
0.09326412 -61.30989474 235.294117647059  7.36 K0III       
0.09340207 -51.26045604 434.782608695652  7.36 K3/K4III    
0.09359807 43.40143611 2127.65957446809  8.47 B1.5IV      
0.0943665 55.70990230 235.294117647059  6.99 K0III       
0.09452151 45.81245496 11.7508813160987  8.20 K2          
0.09467993 44.46868671 142.857142857143  8.36 A0          
0.09488884 58.31365552 47.5511174512601  8.22 G0          
0.09498215 13.39628227 114.285714285714  5.55 G5III       
0.09534461 -15.36550173 534.75935828877  8.60 K1III       
0.09566975 17.84032678 168.067226890756  7.75 F2...      
0.09651865 47.08729369 381.679389312977  8.47 A0          
0.09790781 -41.75288210 40.2414486921529  7.51 G0V         
0.09799795 12.52743978 342.465753424658  8.91 K0          
0.09856701 18.23536692 38.109756097561  7.45 F8          
0.09864757 -68.81162782 76.9822940723634  8.99 F8V         
0.0987676 18.07622626 38.8048117966628  8.58 K0...       
0.09908583 24.56904604 188.323917137476  6.90 K5          
0.09917931 49.62234797 141.843971631206  7.55 A3          
0.09952054 44.73937991 234.741784037559  7.93 A3          
0.10003646 -39.13751717 238.663484486874  8.55 K3III       
0.10014949 28.27696051 344.827586206897  6.62 K5III       
0.10029297 16.45207976 325.732899022801  7.89 G5          
0.10089094 24.91664125 176.678445229682  7.51 K1III-IV    
0.10094255 63.67965857 12500  7.36 O6pe        
0.10097587 53.27691513 751.87969924812  8.66 A2          
0.10115884 -84.09820798 555.555555555556  8.51 K3III       
0.10118211 40.41853643 304.878048780488  6.65 G5          
0.10222844 09.71496461 90.3342366757001  7.80 F5          
0.10223438 00.12143808 187.265917602996  8.21 G5          
0.10251778 -29.15139035 227.790432801822  7.90 B9V         
0.10316432 87.88938595 478.468899521531  8.94 K0          
0.10365537 -01.88705095 135.50135501355  8.69 F8          
0.10394045 -32.81635348 10000000  8.57 M1III       
0.10425238 -55.49869634 168.067226890756  8.89 F5IV/V      
0.10431626 58.43668966 20.2839756592292  5.98 G5V         
0.10466732 -64.24051492 185.873605947955  7.92 F3IV        
0.10470338 -10.77847003 425.531914893617  7.60 M...        
0.10518401 -01.23801760 212.314225053079  8.22 K2          
0.10518422 -49.07509405 25.6410256410256  5.70 G1IV...     
0.10525068 -65.83919547 17.5685172171469 12.17 M4          
0.10553383 -12.01719883 138.121546961326  8.75 F6/F7V      
0.10559558 40.89871965 116.279069767442  6.93 K0          
0.10560644 60.45712221 209.205020920502  7.97 F0          
0.10577002 68.63612309 323.624595469256  8.06 K2          
0.10693367 -18.03825665 148.588410104012  7.31 F2IV        
0.10721191 42.75275856 123.304562268804  8.35 G1V         
0.10736857 64.19616859 301.204819277108  5.57 B9III       
0.10943351 43.78227474 162.60162601626  8.87 F8          
0.10987378 28.55343687 194.931773879142  6.68 G9III       
0.10996725 56.51450029 237.529691211401  8.05 A0          
0.11014736 29.02193518 13.7023842148534  6.07 K0V         
0.11068798 33.65427137 250  8.51 K0          
0.11078956 -36.08467578 199.203187250996  7.71 G8III       
0.11100387 -24.62067192 178.25311942959  8.56 F7V         
0.11113095 70.16926509 409.83606557377  8.26 K0          
0.11162177 56.32466451 414.9377593361  8.62 B9          
0.1130383 -04.34981191 110.132158590308  8.21 F8          
0.11304938 23.49381547 157.232704402516  8.72 F4IVws      
0.11311733 -70.58944075 606.060606060606  8.03 K5p...      
0.1138957 -23.10742543 39.0777647518562  6.19 F2IV        
0.11406501 20.55974087 271.0027100271  8.22 G5          
0.11407859 31.13044847 201.612903225806  7.93 K0          
0.11453446 01.86101143 150.602409638554  8.98 F8          
0.11480464 -38.87768936 271.0027100271  6.91 K0III       
0.11482463 -55.16079775 862.068965517241  8.79 K3III       
0.11498691 -03.62572272 53.4473543559594  8.23 G0          
0.11559346 38.20259978 500  8.83 G5          
0.11563983 -43.98527000 268.096514745308  7.62 G8III       
0.11652847 -40.41400635 247.524752475248  8.96 F3IV/V      
0.1165768 53.97486354 266.666666666667  8.97 A           
0.11722052 22.84448874 119.047619047619  8.29 F0          
0.11734206 05.28802852 2325.58139534884  8.30 M...        
0.11738043 -18.82075644 249.376558603491  8.26 F5          
0.1178221 06.87560716 140.449438202247  7.44 A5          
0.11836555 85.40485204 226.757369614512  8.20 A3          
0.1187691 -15.85008750 126.742712294043  8.68 F5V         
0.11883157 -30.56157424 230.94688221709  8.65 A1V         
0.11896248 -37.92914178 194.552529182879  8.41 F3V         
0.11918253 72.77522493 206.611570247934  8.42 A3          
0.11949469 34.85379559 304.878048780488  8.86 M5          
0.11972793 46.75702172 248.138957816377  7.92 K0          
0.12016257 06.20432213 238.663484486874  8.85 A3          
0.12035831 -76.73091557 83.8926174496644  7.56 F5IV-V      
0.12047431 73.21031615 236.406619385343  7.88 F2          
0.12068362 20.55571109 282.485875706215  7.99 K0          
0.12095164 -41.88961116 58.2072176949942  8.23 F8/G0V      
0.1212881 -27.39777661 454.545454545455  8.52 K1III       
0.12174257 -17.38703103 160.25641025641  6.20 A2IV/V      
0.12177501 07.70357212 170.357751277683  7.64 F5          
0.12208183 01.66508782 121.506682867558  8.95 G0          
0.12279011 -56.83685592 348.432055749129  7.48 K5III       
0.12289102 -25.35632439 48.4730974309258  7.06 F5V         
0.1229105 26.45088655 106.723585912487  7.33 K1IV        
